,Trading Date,BUY,SELL,Spread,Delivery Year
0,2022-12-30,172.425,183.188,-10.763,2023
1,2022-12-29,193.9,204.513,-10.613,2023
2,2022-12-28,189.25,200.925,-11.675,2023
3,2022-12-23,203.3,210.0,-6.7,2023
4,2022-12-22,227.75,232.513,-4.763,2023
5,2022-12-21,241.85,245.0,-3.15,2023
6,2022-12-20,262.55,266.725,-4.175,2023
7,2022-12-19,265.375,268.475,-3.1,2023
8,2022-12-16,293.0,295.8,-2.8,2023
9,2022-12-15,336.0,338.425,-2.425,2023
10,2022-12-14,324.225,327.0,-2.775,2023
11,2022-12-13,341.5,344.15,-2.65,2023
12,2022-12-12,335.375,338.2,-2.825,2023
13,2022-12-09,355.0,356.0,-1.0,2023
14,2022-12-08,337.0,340.5,-3.5,2023
15,2022-12-07,372.013,374.5,-2.487,2023
16,2022-12-06,347.575,350.0,-2.425,2023
17,2022-12-05,339.0,342.15,-3.15,2023
18,2022-12-02,340.05,343.875,-3.825,2023
19,2022-12-01,338.0,343.375,-5.375,2023
20,2022-11-30,367.25,368.25,-1.0,2023
21,2022-11-29,338.025,342.0,-3.975,2023
22,2022-11-28,318.5,322.5,-4.0,2023
23,2022-11-25,324.0,328.2,-4.2,2023
24,2022-11-24,319.7,324.8,-5.1,2023
25,2022-11-23,339.775,343.0,-3.225,2023
26,2022-11-22,324.0,328.225,-4.225,2023
27,2022-11-21,311.45,312.275,-0.825,2023
28,2022-11-18,303.65,305.75,-2.1,2023
29,2022-11-17,316.25,320.5,-4.25,2023
30,2022-11-16,306.525,308.0,-1.475,2023
31,2022-11-15,335.6,338.0,-2.4,2023
32,2022-11-14,321.875,323.5,-1.625,2023
33,2022-11-11,276.45,279.75,-3.3,2023
34,2022-11-10,305.05,307.875,-2.825,2023
35,2022-11-09,317.163,319.838,-2.675,2023
36,2022-11-08,325.425,330.5,-5.075,2023
37,2022-11-07,320.575,324.5,-3.925,2023
38,2022-11-04,327.5,332.0,-4.5,2023
39,2022-11-03,347.575,351.1,-3.525,2023
40,2022-11-02,354.075,356.125,-2.05,2023
41,2022-11-01,319.5,323.55,-4.05,2023
42,2022-10-31,334.175,340.0,-5.825,2023
43,2022-10-28,371.75,375.0,-3.25,2023
44,2022-10-27,363.025,368.0,-4.975,2023
45,2022-10-26,363.35,367.0,-3.65,2023
46,2022-10-25,364.125,370.0,-5.875,2023
47,2022-10-24,369.4,376.0,-6.6,2023
48,2022-10-21,395.0,402.0,-7.0,2023
49,2022-10-20,404.5,411.0,-6.5,2023
50,2022-10-19,374.25,379.25,-5.0,2023
51,2022-10-18,386.238,389.913,-3.675,2023
52,2022-10-17,404.625,411.0,-6.375,2023
53,2022-10-14,421.675,427.425,-5.75,2023
54,2022-10-13,444.988,452.0,-7.012,2023
55,2022-10-12,466.5,473.0,-6.5,2023
56,2022-10-11,460.9,467.0,-6.1,2023
57,2022-10-10,472.025,477.463,-5.438,2023
58,2022-10-07,452.2,460.25,-8.05,2023
59,2022-10-06,487.0,490.125,-3.125,2023
60,2022-10-05,503.013,506.988,-3.975,2023
61,2022-10-04,455.1,457.0,-1.9,2023
62,2022-10-03,472.5,470.0,2.5,2023
63,2022-09-30,519.925,525.0,-5.075,2023
64,2022-09-29,559.95,560.238,-0.288,2023
65,2022-09-28,618.65,618.0,0.65,2023
66,2022-09-27,613.2,620.0,-6.8,2023
67,2022-09-26,535.5,532.55,2.95,2023
68,2022-09-23,550.7,548.125,2.575,2023
69,2022-09-22,556.7,551.2,5.5,2023
70,2022-09-21,551.65,535.0,16.65,2023
71,2022-09-20,577.65,567.65,10.0,2023
72,2022-09-19,535.0,525.0,10.0,2023
73,2022-09-16,554.0,549.8,4.2,2023
74,2022-09-15,597.0,592.05,4.95,2023
75,2022-09-14,607.55,610.05,-2.5,2023
76,2022-09-13,558.8,552.8,6.0,2023
77,2022-09-12,529.0,523.0,6.0,2023
78,2022-09-09,562.75,555.775,6.975,2023
79,2022-09-08,588.675,584.275,4.4,2023
80,2022-09-07,585.45,573.05,12.4,2023
81,2022-09-06,631.0,616.6,14.4,2023
82,2022-09-05,659.55,640.713,18.837,2023
83,2022-09-02,557.213,538.375,18.838,2023
